epsilon,delta,batch_size,max_grad_norm,cifar_label,victim_accuracy,attack_accuracy
174,1e-05,512,10,7,43.17,50.64292779
174,1e-05,512,10,8,43.17,50.70707071
174,1e-05,512,10,9,43.17,50.85
174,1e-05,512,100,0,23.17,49.40711462
174,1e-05,512,100,1,23.17,50.1002004
174,1e-05,512,100,2,23.17,50.42864347
174,1e-05,512,100,3,23.17,50.25125628
174,1e-05,512,100,4,23.17,50.12531328
174,1e-05,512,100,5,23.17,50.47955578
174,1e-05,512,100,6,23.17,49.28536225
174,1e-05,512,100,7,23.17,49.45598417
174,1e-05,512,100,8,23.17,50.50505051
174,1e-05,512,100,9,23.17,50
